,Population 2013,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ranking,,Economy,(thousands),,,,,,,
,,,,,,,,,,,
LBR,125,,Liberia,"4,294",,,,,,,
HRV,126,,Croatia,"4,253",,,,,,,
WBG,127,,West Bank and Gaza,"4,170",,,,,,,
MRT,128,,Mauritania,"3,890",,,,,,,
PAN,129,,Panama,"3,864",,,,,,,
BIH,130,,Bosnia and Herzegovina,"3,829",,,,,,,
OMN,131,,Oman,"3,632",,,,,,,
PRI,132,,Puerto Rico,"3,615",,,,,,,
MDA,133,,Moldova,"3,559",b,,,,,,
URY,134,,Uruguay,"3,407",,,,,,,
KWT,135,,Kuwait,"3,369",,,,,,,
ARM,136,,Armenia,"2,977",,,,,,,
LTU,137,,Lithuania,"2,956",,,,,,,
MNG,138,,Mongolia,"2,839",,,,,,,
ALB,139,,Albania,"2,774",,,,,,,
JAM,140,,Jamaica,"2,715",,,,,,,
NAM,141,,Namibia,"2,303",,,,,,,
QAT,142,,Qatar,"2,169",,,,,,,
MKD,143,,"Macedonia, FYR","2,107",,,,,,,
LSO,144,,Lesotho,"2,074",,,,,,,
SVN,145,,Slovenia,"2,060",,,,,,,
BWA,146,,Botswana,"2,021",,,,,,,
LVA,147,,Latvia,"2,013",,,,,,,
GMB,148,,"Gambia, The","1,849",,,,,,,
KSV,149,,Kosovo,"1,824",,,,,,,
GNB,150,,Guinea-Bissau,"1,704",,,,,,,
GAB,151,,Gabon,"1,672",,,,,,,
TTO,152,,Trinidad and Tobago,"1,341",,,,,,,
BHR,153,,Bahrain,"1,332",,,,,,,
EST,154,,Estonia,"1,325",,,,,,,
MUS,155,,Mauritius,"1,296",,,,,,,
SWZ,156,,Swaziland,"1,250",,,,,,,
TMP,157,,Timor-Leste,"1,178",,,,,,,
CYP,158,,Cyprus,"1,141",,,,,,,
FJI,159,,Fiji,881,,,,,,,
DJI,160,,Djibouti,873,,,,,,,
GUY,161,,Guyana,800,,,,,,,
GNQ,162,,Equatorial Guinea,757,,,,,,,
BTN,163,,Bhutan,754,,,,,,,
COM,164,,Comoros,735,,,,,,,
MNE,165,,Montenegro,621,,,,,,,
MAC,166,,"Macao SAR, China",566,,,,,,,
SLB,167,,Solomon Islands,561,,,,,,,
LUX,168,,Luxembourg,543,,,,,,,
SUR,169,,Suriname,539,,,,,,,
CPV,170,,Cape Verde,499,,,,,,,
MLT,171,,Malta,423,,,,,,,
BRN,172,,Brunei Darussalam,418,,,,,,,
BHS,173,,"Bahamas, The",377,,,,,,,
MDV,174,,Maldives,345,,,,,,,
BLZ,175,,Belize,332,,,,,,,
ISL,176,,Iceland,323,,,,,,,
BRB,177,,Barbados,285,,,,,,,
PYF,178,,French Polynesia,277,,,,,,,
NCL,179,,New Caledonia,262,,,,,,,
VUT,180,,Vanuatu,253,,,,,,,
STP,181,,São Tomé and Principe,193,,,,,,,
WSM,182,,Samoa,190,,,,,,,
LCA,183,,St. Lucia,182,,,,,,,
GUM,184,,Guam,165,,,,,,,
CHI,185,,Channel Islands,162,,,,,,,
CUW,186,,Curaçao,154,,,,,,,
VCT,187,,St. Vincent and the Grenadines,109,,,,,,,
GRD,188,,Grenada,106,,,,,,,
TON,189,,Tonga,105,,,,,,,
VIR,190,,Virgin Islands (U.S.),105,,,,,,,
FSM,191,,"Micronesia, Fed. Sts.",104,,,,,,,
ABW,192,,Aruba,103,,,,,,,
KIR,193,,Kiribati,102,,,,,,,
ATG,194,,Antigua and Barbuda,90,,,,,,,
SYC,195,,Seychelles,89,,,,,,,
IMY,196,,Isle of Man,86,,,,,,,
ADO,197,,Andorra,79,,,,,,,
DMA,198,,Dominica,72,,,,,,,
BMU,199,,Bermuda,65,,,,,,,
CYM,200,,Cayman Islands,58,,,,,,,
GRL,201,,Greenland,56,,,,,,,
ASM,202,,American Samoa,55,,,,,,,
KNA,203,,St. Kitts and Nevis,54,,,,,,,
MNP,204,,Northern Mariana Islands,54,,,,,,,
MHL,205,,Marshall Islands,53,,,,,,,
FRO,206,,Faeroe Islands,49,,,,,,,
SXM,207,,Sint Maarten (Dutch part),40,,,,,,,
MCO,208,,Monaco,38,,,,,,,
LIE,209,,Liechtenstein,37,,,,,,,
TCA,210,,Turks and Caicos Islands,33,,,,,,,
SMR,211,,San Marino,31,,,,,,,
MAF,212,,St. Martin (French part),31,,,,,,,
PLW,213,,Palau,21,,,,,,,
TUV,214,,Tuvalu,10,,,,,,,
,,,,,,,,,,,
WLD,,,World,"7,124,544",,,,,,,
,,,,,,,,,,,
LIC,,,Low income,"848,668",,,,,,,
MIC,,,Middle income,"4,969,744",,,,,,,
LMC,,,  Lower middle income,"2,561,088",,,,,,,
UMC,,,  Upper middle income,"2,408,656",,,,,,,
LMY,,,Low & middle income,"5,818,412",,,,,,,
EAP,,,  East Asia & Pacific,"2,005,809",,,,,,,
ECA,,,  Europe & Central Asia,"272,209",,,,,,,
LAC,,,  Latin America & Caribbean,"588,020",,,,,,,
MNA,,,  Middle East & North Africa,"345,447",,,,,,,
SAS,,,  South Asia,"1,670,808",,,,,,,
SSA,,,  Sub-Saharan Africa,"936,119",,,,,,,
HIC,,,High income,"1,306,132",,,,,,,
EMU,,,  Euro area,"334,049",,,,,,,
,,,,,,,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
