RUS,Russian Federation,"13,868,593,114"
RWA,Rwanda,"7,269,956"
WSM,Samoa,"1,206,042"
SMR,San Marino,0
STP,Sao Tome and Principe,"863,732"
SAU,Saudi Arabia,"2,949,290,855"
SEN,Senegal,"41,767,297"
YUG,Serbia and Montenegro,..
SYC,Seychelles,"6,040,803"
SLE,Sierra Leone,"8,497,246"
SGP,Singapore,"477,800,714"
SVK,Slovak Republic,"354,810,989"
SVN,Slovenia,"129,070,744"
SLB,Solomon Islands,"1,678,881"
SOM,Somalia,"1,706,270"
ZAF,South Africa,"3,421,044,338"
ESP,Spain,"2,755,183,615"
LKA,Sri Lanka,"103,821,018"
KNA,St. Kitts and Nevis,"1,152,008"
LCA,St. Lucia,"2,885,250"
VCT,St. Vincent and the Grenadines,"1,663,666"
SDN,Sudan,"100,400,390"
SUR,Suriname,"20,140,836"
SWZ,Swaziland,"8,190,546"
SWE,Sweden,"414,921,575"
CHE,Switzerland,"325,960,108"
SYR,Syrian Arab Republic,"568,618,421"
TJK,Tajikistan,"53,042,290"
TZA,Tanzania,"42,820,786"
THA,Thailand,"2,218,387,730"
TMP,Timor-Leste,"1,515,671"
TGO,Togo,"10,544,036"
TON,Tonga,"1,001,383"
TTO,Trinidad and Tobago,"271,776,775"
TUN,Tunisia,"194,547,342"
TUR,Turkey,"2,061,464,341"
TKM,Turkmenistan,"444,375,989"
UGA,Uganda,"20,896,394"
UKR,Ukraine,"2,871,635,849"
ARE,United Arab Emirates,"930,888,866"
GBR,United Kingdom,"4,347,455,985"
USA,United States,"44,727,758,164"
URY,Uruguay,"54,086,607"
UZB,Uzbekistan,"1,120,397,354"
VUT,Vanuatu,"807,753"
VEN,"Venezuela, RB","1,521,938,711"
VNM,Vietnam,"893,975,827"
VIR,Virgin Islands (U.S.),0
WBG,West Bank and Gaza,"19,241,367"
YEM,"Yemen, Rep.","160,220,466"
ZMB,Zambia,"20,474,591"
ZWE,Zimbabwe,"79,339,153"
